ORDER_ID,CUSTOMER_ID,ORDER_DATE,PRODUCT,QUANTITY,UNIT_PRICE,REGION
ORD-011,CUST-110,2024-02-01,Laptop Pro 15,1,1299.99,Europe
ORD-012,CUST-111,2024-02-02,Wireless Mouse,10,29.99,North America
ORD-013,CUST-112,2024-02-03,USB-C Hub,2,79.99,Europe
ORD-014,CUST-113,2024-02-05,Mechanical Keyboard,3,149.99,Asia Pacific
ORD-015,CUST-114,2024-02-07,Monitor 27 inch,1,399.99,North America
ORD-016,CUST-115,2024-02-10,Webcam HD,2,89.99,Europe
ORD-017,CUST-116,2024-02-12,Laptop Stand,4,59.99,North America
ORD-018,CUST-117,2024-02-15,Noise Canceling Headphones,1,249.99,Asia Pacific
ORD-019,CUST-118,2024-02-18,External SSD 1TB,5,129.99,Europe
ORD-020,CUST-119,2024-02-20,Docking Station,2,199.99,North America
