ORDER_ID,CUSTOMER_ID,ORDER_DATE,PRODUCT,QUANTITY,UNIT_PRICE,REGION
ORD-001,CUST-101,2024-01-15,Laptop Pro 15,2,1299.99,North America
ORD-002,CUST-102,2024-01-16,Wireless Mouse,5,29.99,Europe
ORD-003,CUST-103,2024-01-17,USB-C Hub,3,79.99,Asia Pacific
ORD-004,CUST-104,2024-01-18,Mechanical Keyboard,1,149.99,North America
ORD-005,CUST-105,2024-01-19,Monitor 27 inch,2,399.99,Europe
ORD-006,CUST-101,2024-01-20,Webcam HD,4,89.99,North America
ORD-007,CUST-106,2024-01-21,Laptop Stand,6,59.99,Asia Pacific
ORD-008,CUST-107,2024-01-22,Noise Canceling Headphones,2,249.99,Europe
ORD-009,CUST-108,2024-01-23,External SSD 1TB,3,129.99,North America
ORD-010,CUST-109,2024-01-24,Docking Station,1,199.99,Asia Pacific
